Private timer initialized. TIMER_FREQ_HZ = 325000000 Hz
TRNG end-to-end test (TRNG -> PS -> UART)
GPIO mapping:
194: CAB6F733
195: DCA04F04
196: C6EA6B2A
197: 2F5206B0
198: 9CD5ED68
199: 8AA95270
200: AD416807
201: DAEDAD98
202: 8CBB05F9
203: 1DE22EEB
204: 603C002A
205: BE8AF81F
206: F1A503C0
207: D6AEFF3A
208: 8593A52F
209: A7B940B8
210: 7B51690A
211: 40484332
212: 82A2A7E4
213: F4CF6ABD
214: 470F1CEC
215: 1B3D7333
216: 0F77E604
217: 7EE46359
218: 944B1C7A
219: D543A983
220: 4000359E
221: 00439102
222: C901877C
223: B9D9125F
224: AF3DA026
225: C48CA4E5
226: 78291FB1
227: CD805BFF
228: CC83EDC1
229: B7C1ABF5
230: 19425D6C
231: 0A2E4F7B
232: 5F9416EB
233: 0D2F1C66
234: 1FFCC860
235: 478B9F09
236: A6857AE6
237: 6B2CF5CE
238: A6E57DAE
239: CAD78688
240: B9901C94
241: 6B83CA62
242: 7B69CA13
243: D3C5BDD0
244: 5C040856
245: 5971CFE7
246: 8DB682F0
247: 419338C2
248: B0903FE1
249: 4CF782EC
250: 5FAFF938
251: 4BFB0942
252: 1327F484
253: 8A0B7040
254: 2A705D6B
255: 81C0FEA5
256: 2B80E372
257: D186297C
258: A3EF7E5A
259: 86ECAAF6
260: 5C7A8498
261: 556A237E
262: 0BC7B14A
263: A40C0640
264: 2B353755
265: A0317034
266: 2C0B6F20
267: 2523F29E
268: 6DF697C7
269: 1E73C774
270: 3F17BBD0
271: 0BC88CB8
272: 1776F2AB
273: 61603FCC
274: 9BE90885
275: CFA98D3B
276: CE095D09
277: 60284578
278: 88FD21EC
279: DD71B65A
280: 4E2B6702
281: CF08AFA4
282: 24A46EF2
283: 8B4AD965
284: 8E6E40CC
285: 07244107
286: 7F50E37E
287: 09DD9D25
288: 390888AA
289: 5071833B
290: BBBE3897
291: 7800247C
292: 864728FE
293: 03778ED0
294: F6D6FDA3
295: 2CD03456
296: 5A8E2448
297: 552D8303
298: D238089B
299: DF0E7984
300: 98415DDE
301: 56D6F7D3
302: 0971F37F
303: F1A545B0
304: 1FE740EC
305: 5B6ED6CB
306: F2921F9C
307: 2A43FD7F
308: 33439328
309: 35171236
310: 4D2A669E
311: 05BEA899
312: F6E40D81
313: 518AA910
314: FE038001
315: D65339DE
316: 4886BABF
317: D15D8A34
318: 6DA1526F
319: 93A40684
320: 89D8CF31
321: 0F32C4D9
322: 11C7FC12
323: 48EA6AA3
324: A84CF32B
325: AF678D36
326: 851B667E
327: 14C61079
328: D3DA1EBE
329: 40B87077
330: 91563B6F
331: 95409A7F
332: 79677748
333: 7F545365
334: 678AAA96
335: FFDB7597
336: B58C1C9E
337: D63F9B9F
338: 4AB5C31C
339: 5160170B
340: 4BA174BF
341: E860CE21
342: 0C167C04
343: 603AB07E
344: 107A2DA3
345: 025C361D
346: B173DA07
347: F0B6DB7F
348: A87BF17F
349: EE8AB1FF
350: 9E976E85
========================================
Total samples : 350
t_start       : 0xA8177F2D
t_end         : 0x9EB30869
Total ticks   : 157578948
Total time    : 484858 microseconds
Total time    : 0.484858 seconds
Average/sample: 1385.309 microseconds per sample
========================================
Waiting for start to go LOW...
Start LOW detected, ready for next run.

=== START detected, capturing 350 samples ===
001: B41049C2
002: 98FAEC71
003: C835603F
004: 893F2B4F
005: 112E4308
006: 858406AE
007: DFF4D0D3
008: 0BEB29A6
009: CD7B61C0
010: 1A645F12
011: E4CA1C07
012: A2C237BA
013: 51530CF4
014: 2895A4A8
015: 905D002F
016: 6114C2AD
017: 77DC85B2
018: 48973334
019: D053B1C0
020: 935CFE3C
021: FE3436D3
022: 5AB928ED
023: 0F4926E8
024: 1A54DF40
025: 4558D112
026: 02F83792
027: 733EFE95
028: 8431208C
029: C1E03975
030: 38D45A92
031: 12A1210D
032: 6C1F2383
033: A4EB0F71
034: 60AD2142
035: 1EB2B01A
036: EAC20DC9
037: 7E51FF4A
038: E8F67696
039: 4BD0FDD0
040: 059003DD
041: A8AB7E80
042: F36E7C4F
043: 63E4A33D
044: B06800C6
045: 9E6E74E6
046: DF8E5E2E
047: 14C9C665
048: 3F1A904B
049: BFF34849
050: 3634A99A
051: 4B2CA3D3
052: 8718A000
053: 07A27BC0
054: 8308F25D
055: E7329631
056: 73F15951
057: 42107CE0
058: 98D2ADC0
059: 7914C009
060: 1A7A93E6
061: C2F265B7
062: B66A968B
063: 79404BC4
064: 04001209
065: 62364705
066: B4DD2BA3
067: 1247F025
068: 29002CA0
069: 409B9312
070: 77A65DC5
071: 97C33A59
072: A5500042
073: 93CD6233
074: EB33CD9D
075: AD1390CD
076: E9F8F56F
077: 6ACC6EE7
078: 381EF627
079: DEDE381E
080: 093A8401
081: 825629A7
082: A8F5CAF0
083: A7EC67B2
084: 8B6AEF57
085: 778DC555
086: 903DDDB9
087: 05E459D2
088: 6DC85127
089: 03BCA5B4
090: 62E4908F
091: B4861883
092: 1F4C189A
093: 60D87AC4
094: 9426A315
095: 197682AD
096: 4A328B21
097: A6037435
098: 44EFAFB3
099: 325390FD
100: 31076E52
101: 5E3D5483
102: 2F2A0AF0
103: 1C0B0A39
104: A6E13B03
105: CC1B33B4
106: BF093A8C
107: 23E0E78D
108: 77621E38
109: A7088447
110: 3F28A6B4
111: 32984294
112: 99F00DB9
113: 23B4760F
114: 64AC60E9
115: F874D797
116: 3ADE0327
117: A76850E0
118: 0142E158
119: 8485CAE8
120: B6668E6C
121: 20AC3D68
122: C87F68EF
123: F0735025
124: F75924BF
125: A9935E31
126: E0CF8E12
127: 15F68830
128: 3587A7BD
129: B92004F5
130: 6193526C
131: C17923A5
132: 9BB73422
133: 80695A9C
134: 00B825D0
135: ECB01ACB
136: F10D0F76
137: FFD564CC
138: DB60A4C8
139: 237E7C39
140: 9CBC092C
141: 8D160A4B
142: C1D8F1A3
143: BD4747BA
144: 4DCD73A6
145: 301915AB
146: 3A151B3D
147: 8442FA4C
148: 967BFD28
149: 881AFDDA
150: B0E5D43D
151: C87E8B2A
152: AFBDD746
153: 3E2A659D
154: 53C96495
155: F5572643
156: 68EE40D0
157: AE07B34D
158: BE2CC5A8
159: FFFA4C43
160: E902EF3B
161: F103B650
162: D5C5E480
163: 2192A4C0
164: 000A9FE5
165: 949773DC
166: 06F701E6
167: 90FF71E9
168: 8524AF57
169: 8400B230
170: A7DF3733
171: B0B9AABD
172: 7CC70997
173: F8D96747
174: 6E9E917A
175: 0E0A0668
176: D244339D
177: 87E67CE3
178: B767E708
179: 0079A3CB
180: 219B7F39
181: 51796108
182: 78EEA2A2
183: 060469FA
184: 9F2D1CB6
185: F8C7EEF0
186: 4E7CAA80
187: 21EE4752
188: 854E4848
189: 5D556632
190: 301E89F3
191: 4AA3DE89
192: 6C83D5FA
193: 395E1519
194: E0AD63CF
195: 763EF904
196: CB8B9D9A
197: 82DF0378
198: A046A1D4
199: 69E88EB1
200: 55A08499
201: C5235C00
202: 4B3BCC90
203: FBAE7DB1
204: F121315C
205: B62B0D8A
206: 8A09EB7A
207: 5BDAD9CA
208: A648E321
209: 4D2F55FF
210: 93286D30
211: 28A927F1
212: 7699EED1
213: 044F76A9
214: D01EE9B1
215: 061BD914
216: 4216876C
217: 30009D28
218: 0C9C447D
219: 032F788B
220: 665BA2FD
221: 2B1F69B6
222: 5A6D4CBB
223: 9D3C23F4
224: FD1BA0EE
225: A20ABC57
226: BD7385A1
227: F1D8BF5A
228: DC74D91F
229: 24EE3BC9
230: C08288C9
231: 75F84A6C
232: 22B50436
233: FF527B32
234: BF9C0540
235: 0F67A66F
236: 695E12F5
237: FE55C9C6
238: 810EE767
239: FDE9F406
240: B846EAC7
241: E4B4D42F
242: 06732F26
243: 7F4C6A49
244: BC491142
245: 9EBCF242
246: 0890C2EE
247: E8972A75
248: A0A9952B
249: 805514BF
250: AAE0322B
251: 46A8562E
252: E0A75AA0
253: 32BEB650
254: 28EF7718
255: D605F03A
256: 493F751E
257: 815F742B
258: 0F6A921C
259: 11ED0D64
260: 8E27F102
261: 04FFAE92
262: D0CAD66F
263: 4E130170
264: 32222CEF
265: 374A06B0
266: 03974BFD
267: 5E291914
268: 12CE33A8
269: 0D9D91F8
270: 834930FA
271: 77914BC8
272: 8CDA16D5
273: 4FA472C0
274: 475CFF75
275: 676B4C05
276: 85943850
277: 4B50AE42
278: 16C46798
279: 95354DC9
280: 0C36F26F
281: B896E182
282: 09BA8D2E
283: 84DF9BFF
284: AE07A13F
285: D0119C00
286: 01D33857
287: 8898024A
288: B9BEEBC0
289: F7C5A9B4
290: 0DE0B709
291: 5D92D7C4
292: 9F6FDCF1
293: 8BFEAC9E
294: 77FAD7FD
295: 0CA27E03
296: B757B43B
297: A1C38CE3
298: 54C59C33
299: 3BA97ABA
300: B01585B7
301: F8EB7117
302: 297FF7D5
303: 92A3F903
304: 0D4BA4C9
305: 248C6CC0
306: BF756DDA
307: 7646914F
308: 2432CA83
309: 479B423E
310: 37943FB8
311: DD501DE0
312: 1EF2516C
313: B5742470
314: 4B6E6D60
315: E5070431
316: 1A01D52F
317: 78CE37B1
318: 2BA962BF
319: FE1B7CFB
320: 21F468DC
321: E4E92642
322: E6845C1C
323: 30DC005F
324: 4DDFE38A
325: FBA07D2C
326: 5F9AE4CF
327: 1C6EFC04
328: C4BDA1A6
329: 9A85DD3E
330: 29C5651D
331: 18B4616D
332: A89687AD
333: 584853F7
334: 7700CD91
335: CBFC6F55
336: 164BDB0E
337: DED93080
338: 2F0C8973
339: 456CDD74
340: DF867C18
341: A06854DC
342: FE18EBE1
343: 2D9F973B
344: 91283774
345: C420B14A
346: 583C6680
347: 3117B2C6
348: 477F4DE1
349: C98D4DBF
350: 873E97CD
========================================
Total samples : 350
t_start       : 0x9C4D4D79
t_end         : 0x92E8DB62
Total ticks   : 157577751
Total time    : 484854 microseconds
Total time    : 0.484855 seconds
Average/sample: 1385.297 microseconds per sample
========================================
Waiting for start to go LOW...
Start LOW detected, ready for next run.
